,text,emotion,clean_text
0,i didnt feel humiliated,sadness,humiliated
1,i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,sadness,go hopeless damned hopeful around someone cares awake
2,im grabbing a minute to post i feel greedy wrong,anger,grabbing minute post greedy wrong
3,i am ever feeling nostalgic about the fireplace i will know that it is still on the property,love,ever nostalgic fireplace know still property
4,i am feeling grouchy,anger,grouchy
5,ive been feeling a little burdened lately wasnt sure why that was,sadness,little burdened lately wasnt sure
6,ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny,surprise,taking milligrams times recommended amount fallen asleep lot faster also like funny
7,i feel as confused about life as a teenager or as jaded as a year old man,fear,confused life teenager jaded year old man
8,i have been with petronas for years i feel that petronas has performed well and made a huge profit,joy,petronas years petronas performed well made huge profit
9,i feel romantic too,love,romantic
10,i feel like i have to make the suffering i m seeing mean something,sadness,like make suffering seeing mean something
11,i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter,joy,running divine experience expect spiritual encounter
12,i think it s the easiest time of year to feel dissatisfied,anger,think easiest year dissatisfied
13,i feel low energy i m just thirsty,sadness,energy thirsty
14,i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious,joy,immense sympathy general point possible proto writer trying find write corners life sign agent let alone publishing contract feels little precious
15,i do not feel reassured anxiety is on each side,joy,reassured anxiety side
16,i didnt really feel that embarrassed,sadness,really embarrassed
17,i feel pretty pathetic most of the time,sadness,pretty pathetic
18,i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties,sadness,started sentimental dolls child began collection vintage barbie dolls sixties
19,i now feel compromised and skeptical of the value of every unit of work i put in,fear,compromised skeptical every unit work put
20,i feel irritated and rejected without anyone doing anything or saying anything,anger,irritated rejected without anyone anything saying anything
21,i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for,fear,completely overwhelmed two strategies help grounded pour heart journal letter god end five things grateful
22,i have the feeling she was amused and delighted,joy,amused delighted
23,i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me,joy,able help chai lifeline support encouragement great glad able help
24,i already feel like i fucked up though because i dont usually eat at all in the morning,anger,already like fucked though usually eat morning
25,i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed,sadness,still love wish best longer tolerate effect bm lives fact turned bitter angry person always particularly people around stressed
26,i feel so inhibited in someone elses kitchen like im painting on someone elses picture,sadness,inhibited someone elses kitchen like painting someone elses
27,i become overwhelmed and feel defeated,sadness,become overwhelmed defeated
28,i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,anger,kinda appalled feels like needs explain wide lenghth measures etc pp
29,i feel more superior dead chicken or grieving child,joy,superior dead chicken grieving child
30,i get giddy over feeling elegant in a perfectly fitted pencil skirt,joy,get giddy elegant perfectly fitted pencil skirt
31,i remember feeling acutely distressed for a few days,fear,remember acutely distressed days
32,i have seen heard and read over the past couple of days i am left feeling impressed by more than a few companies,surprise,seen heard read past couple days left impressed companies
33,i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,anger,climbed hill frustrated pretty much paced entirely wrong course factor never ever hampered made dent day
34,i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently,joy,imagine real life scenario would emotionally connected enough someone totally accepted safe morally acceptable close prolonged physical contact sex expected subsequently
35,i am not sure what would make me feel content if anything,joy,sure would make anything
36,i have been feeling the need to be creative,joy,need creative
37,i do however want you to know that if something someone is causing you to feel less then your splendid self step away from them,joy,however want know something someone causing less splendid self away
38,i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed,anger,bit rude writing elderly gentleman ask gifts bit greedy christmas mild greed
39,i need you i need someone i need to be protected and feel safe i am small now i find myself in a season of no words,joy,need need someone need protected safe find season words
40,i plan to share my everyday life stories traveling adventures inspirations and handmade creations with you and hope you will also feel inspired,joy,plan share everyday life stories traveling adventures inspirations handmade creations hope also inspired
41,i already have my christmas trees up i got two and am feeling festive which i m sure is spurring me to get started on this book,joy,already christmas trees got two festive sure spurring get started book
42,ive worn it once on its own with a little concealer and for the days im feeling brave but dont want to be pale then its perfect,joy,worn little concealer days brave want pale perfect
43,i feel very strongly passionate about when some jerk off decides to poke and make fun of us,joy,strongly passionate jerk decides poke make fun us
44,i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way,sadness,discouraged already robbing peter pay paul get cow year afford get cow way
45,i was feeling listless from the need of new things something different,sadness,listless need new things something different
